"catagory","title","participated"
"정치개혁","삼권분립체제에서 유일하게 국민 투표로 선출되지않는권력이 사법부입니다","2"
"행정","자격시험 및 면허시험 시험장소 지역별로 지정필요합니다.","2"
"기타","죽고싶어도 죽지 못하는 삶을 살고 있습니다 도와주세요","22"
"외교/통일/국방","귤취소해주세요","10"
"미래","소년법 폐지","36"
"경제민주화","이나라가 참여연대가말하면법과제도가바뀌는나라입니까","18"
"인권/성평등","사랑의 정의를 평등하게 바꿔주세요","9"
"교통/건축/국토","보험사의 보험사기, 사법농단으로 인해 교통사고 피해자가 4억여원의 돈을 억울하게 물어줘야 할 기가막힌 사연","5"
"정치개혁","국민은 경제폭망에 안보파괴로 죽어가는데 음주운전에 해외여행에 신나셨네요!","11"
"정치개혁","혜경궁김씨는 누구입니까?","3"
"기타","의료시민연대 고발합니다제가 너무 무리한 요구를했나요","0"
"저출산/고령화대책","서민을 위한 연탄","3"
"보건복지","인천 중학생 집단폭행으로 인한 추락사[청울림TV]","180"
"기타","성폭력 범죄 처벌과 통신매체이용음란사건내용잇습니다","1"
"기타","잠시라도 부동산 규제를 풀어주세요.","122"
"안전/환경","세상 밖에 나오면 안되는 사람 조두순","31"
"외교/통일/국방","국방사업의 인도네시아 계약위반 제소와 제재청원합니다. 인니측의 기술유출의혹과 쉬쉬한 관련공무원 조사해야합니다","12"
"외교/통일/국방","국방사업의 인도네시아 계약위반 제소와 제재청원합니다. 인니측의 기술유출의혹과 쉬쉬한 관련공무원 조사해야합니다","12"
"보건복지","전면 무상의료정책 시행해주세요","0"
"문화/예술/체육/언론","불법만화사이트 ""**"" 폐지 부탁드립니다.","8"
"보건복지","S병원 의사가 불법뇌물을 받은 후 이를 자랑하고 다닙니다.","7"
"육아/교육","저희 학교 체육 선생님을 고발합니다.","11"
"일자리","머리 쓰는 직업 월급 줄이고 힘쓰는 직업 월급 확 올려라 정부는 우리의 목소리를 듣고 있는 것인가?","5"
"문화/예술/체육/언론","대한민국의 언론들은 진짜 쓰레기입니다 .","28"
"일자리","최악의 실업률과 청년 일자리 확대방안으로 청년내일채움공제 혜택 확대 의견 제시합니다.","1"
"기타","누구를 위한 신체검사인가요? 병무청","2"
"육아/교육","출산장려정책 다시 계획 짜주세요","1"
"기타","프라모델용 신너 구매불가 문제","0"
"육아/교육","서울 중고등학의 객관식 문제 페지령에 반대합니다","3"
"농산어촌","도시에  사는 농촌의 아들소유의  농지를 매각할수 있도록 세제 개편을 하면 경기활성화 크게 도움이 된다고 봅니다.","7"
"교통/건축/국토","신분당선 서북부 연장청원(삼송-고양시청-식사동-풍동-중산동-킨텍스)","1,584"
"육아/교육","교육 체제 바꾸세요. 주입식 교육이 아이들을 망치고 나라의 미래를 망칩니다.","8"
"육아/교육","임용고사 페지를 청원하고, 새로운 교원 양성 시스템을 제안합니다.","69"
"일자리","일자리예산은 공무원 가족의 용돈예산입니까? 생계가 급한 사람도 많은데 공무원 가족들이 국고를 빼먹는 중입니다.","13"
"문화/예술/체육/언론","건물 임대수익을 종합소득에서 분리하여 단독과세로 세율을 인상하는 방향을 제안합니다.","2"
"기타","청소년법 강화","23"
"행정","조현천을 잡을려는 마음은 있는 것인지?","7"
"기타","프로젝트 죠죠 환생화살 확률","2"
"미래","부정부폐당 친일한국당은 이명박근혜가 아무리 비리를 저질러도 강싸주고 보호하고.","6"
"기타","트럼프 .이재명 프레임의 승리 대입하면 공통점^^*","10"
"기타","개인정보 유출한 업체는 개인에게 손해를 보상해야합니다.","6"
"외교/통일/국방","철도통일산업반대","18"
"기타","증여 상속 양도세 개정 청원","3"
"보건복지","노점을 하는데 하늘같은 공무원님께서 하도 괴롭혀서 농약을 먹었는데 119도 안부르고 농약을 먹어 인사불성인 전동 휠체어로 장사를 하는데 주차위반 딱지를 붙일까요 말까요 하는 증평군청 도시교통과 하늘같은 공무원님 존경합니다.","5"
"정치개혁","양육비 주지않는 부모얼굴 공개","30"
"정치개혁","♣-소득 양극화 11년만에 최악,♣-""올해 신판포 자이가 84평방미터가 ●10억7500만원 상승"".""","1"
"정치개혁","♣-""글로벌 ●투자전문가 오하드 토포 →한국 부동상 폭락 겪은 적 없서 더위험","1"
"정치개혁","♠-이명박→ 정부시절엔 ●반값 아파트(1평당 1000만) 공약 시행을","1"
"정치개혁","♠-노태우 당시●200호  건설공약을 제시하고 강남의 대체재로","1"
"경제민주화","삼성의 무노조경영 철폐","6"
"정치개혁","♠-강남4구등등 인근에 그린벨트 ●30만호의 저가 국민주택 이하의","2"
"육아/교육","초등하교 성교육을 확대 해 주세요","4"
