"catagory","title","participated"
"농산어촌","유류세 인하에 난방유도 포함되어야","24"
"육아/교육","전국 유치원,어린이집 정부예산 전수조사 촉구합니다.","162"
"보건복지","사회복지관 비리 강력조사촉구","15"
"인권/성평등","우리나라 변호사들의 사법농간 사례","1"
"일자리","자국민   끼리도,   전    세계    최고의    무한경쟁    국가!   이제는   수백만   외국인과의    경쟁에서도    살아   남아야    하는    국가!    ""지옥!""","5"
"경제민주화","재벌개혁 해야 대한민국 경제가 산다","9"
"정치개혁","국회의원특권 감시기관 만들어주세여","5"
"보건복지","양육비를 반드시 지급할수있게끔 꼭 해결해주세요","29"
"교통/건축/국토","위장전입후 자식명의로 강남 3구 아파트 매수해서 시세차익 노리는 부모들이 있어요!! 위장전입 철저히 법적으로 단속해주세요!!","10"
"행정","소방관처우에 대한 탁상행정보다 제대로된 지원을 바랍니다.","392"
"성장동력","경제회복을 위한 필수적 조치들","3"
"인권/성평등","소년법을 조정해주세요","18"
"행정","'자판귀 방지법'(자판기 영양성분표시법)제정을 요청합니다","1"
"교통/건축/국토","휘발유값","6"
"인권/성평등","외국인 노동자에 대한 부당한 대우에 처벌을 강화해 주세요.","2"
"정치개혁","범죄는 아직 끝나지 않았다.","2"
"안전/환경","개정된 학원차량 도로교통법 너무 약합니다. 벌금 강화해 주세요.","2"
"일자리","급격한 최저임금인상은 서민들의 일자리가 사라집니다.","10"
"일자리","존경하는  문재인  대동령님","16"
"정치개혁","감사원은 너무무기력하다","10"
"인권/성평등","공원에서 술먹는 행위를 금지시켜주세요","4"
"경제민주화","국민기업 KT&G를 살려주세요 ~~~","483"
"일자리","국민들은   대통령에   대한    실망,  아니  분노가   너무    크고   나라의   미래가   너무나    걱정입니다.     대    국민    기자회견을    요청합니다.","13"
"미래","청치및 공공기관에서는 가짜 페미니즘은 필요없다","5"
"교통/건축/국토","전국 각지의 골짜기와 계곡 지하에 물 저장시설을 만들자","1"
"교통/건축/국토","부동산 편법 대출 조사해 주세요.","8"
"보건복지","복지빙자 국민연금 강탈 고만하고 어려운 국민들돈은 환불해현재부터살려야","9"
"육아/교육","긴급 ** 유치원 교육 정상화 요청드립니다.","536"
"외교/통일/국방","비핵화 및 평화프로세스의 가속도","1"
"정치개혁","사건사고 생기면 작당한 판사변호사 검사 축재 먹잇감일뿐(이런 해괴한 나라가 다 있나)","6"
"육아/교육","유치원원장들 갑질 유치원교사 처우개선이 필요합니다","71"
"인권/성평등","조력자살을 합법화해주세요","4"
"인권/성평등","곰탕집 성추행 사건 청원올린 부인 허위사실 유포죄 안받나요?","11"
"육아/교육","청년실업자 양산하는 교육제도,독일을 배우자","3"
"외교/통일/국방","혈세낭비 그만하세요","10"
"육아/교육","재혼여성 인허가증명 없이 출생신고 될 수 있게 해주세요","6"
"외교/통일/국방","제재완화 ? .... 입에 담지도 말아주세요","11"
"보건복지","65세 이상 고용보험 불합리 고쳐 주세요","3"
"교통/건축/국토","국유지를 활용하여 공공주택 공급 방안을 신속히 추진하십시오","64"
"교통/건축/국토","무주택자 75% 우선공급??  불안하다","11"
"미래","보배드림곰탕집사건 정의는 어디에 집회 시위합시다.","9"
"기타","인천 여중생 사건 가해자들 솜방망이 처벌 하지마세요.","38"
"육아/교육","대통령님이공약하신거 꼭 지켜주세요","2"
"일자리","간호조무사 교육과정과 실습","8"
"기타","히말리야 등반길 개척길 모두사망 이런 위험한 일은 자제하던지 못하게 해서 사망하는일은 없애야 한다고 생각합니다","1"
"정치개혁","가짜뉴스고발합니다","2"
"정치개혁","5.18이 과연 민주화운동인가??","4"
"인권/성평등","친 오빠한테 강간을 당하며 살아왔습니다.","37"
"농산어촌","이종범 선장님께 포상을 해주세요.","37"
"미래","공직 기강에 관하여","2"
"미래","정부는 정신차리시오!! 계속 이러면 민주당은 없소!!","10"
"교통/건축/국토","뉴타운   재  개발","3"
"일자리","대규모  불법   외국인들이   나라  한복판에서    대규모   시위하는   나라.","15"
"안전/환경","일회용컵 사용을 카페에 책임지게 하지 마세요","0"
"교통/건축/국토","대만처럼 음주운전시 형광번호판으로 달게 해주세요","17"
"교통/건축/국토","부동산 시장에 개입마시오","8"
"보건복지","자살 예방 전화에 대해 청원합니다.","16"
"육아/교육","친부모가 손자를 예쁘다고 하면서 아이에게 모땐 행동을 합니다","2"
"일자리","대통령님 경제를 살려주세요","5"
"일자리","""만국의   노동자는   단결하라!""는   공산당    선언을    부르짖으며    이주노동자    보호에    앞장서는    민주노총등   이주  노동자   단체에    대해서!","10"
"육아/교육","어린이집유치원보조교사늘려주세요","15"
"육아/교육","초등학생들도교복입게해주세요","1"
"육아/교육","정치는 왜 미래 인재를 육성하는 학교를 바라보지 안나요?","3"
"인권/성평등","부정한 정부에 저항을 하세요.개돼지처럼 넋놓고 하루를 살지말구.단지 그것만이 국민으로 사는겁니다","6"
"정치개혁","국민 청원 및 제안의 문제점","4"
"정치개혁","잘못을 인정하고 고치는 모습을 좀 보여주십시오. 답답한 마음에 몇 자 적습니다.","9"
"육아/교육","정부는 대충 보지말고 많은것을 느끼기바래요","6"
"기타","성매매 사기 신고법","5"
"일자리","제발 미용실, 음식점,호프집, 등등  거리제한법을 만들어 주세요","5"
"문화/예술/체육/언론","'진짜뉴스 어벤져스 드림팀' 출범을 촉구합니다.","1"
"문화/예술/체육/언론","스타일리스트들의근무시간","0"
"정치개혁","이것만 고치면 좋은 나라의 첫걸음","0"
"육아/교육","대통령님~양육비 국가 지원 추진 공약 어떻게 된 건지요?","22"
"행정","개인정보 수집및 제 3자 제공및 이용동의 철폐하라!!!!!!!!!!","0"
"육아/교육","유치원 비싸기만하지...국공립으로 바꿔주세요","79"
"정치개혁","신임 투표","1"
"문화/예술/체육/언론","장애인수영 지원","6"
"육아/교육","특성화고 대입인원수 늘려주세요","1"
"인권/성평등","동성애를 존중해주세요","18"
"문화/예술/체육/언론","방송국 적폐 가요프로그램들 조사해주세요","1"
"육아/교육","사립 유치원 조사 철저히 해주세요","137"
"인권/성평등","낙태법 개정","22"
"정치개혁","국회 정무위원회는 지난 8년간 금융위원회, 금융감독원, 법무부의 국민권익위 ""보험피해 방지 제도개선 권고를 이행하지 않고 있으니 국정감사해야 합니다","9"
"외교/통일/국방","서울, 평양에서의 평화촛불","2"
"인권/성평등","전자팔찌 가해건","5"
"안전/환경","층간소음 문제도 최근 음주운전 문제와 같은 맥락에서 다뤄져야 합니다","30"
"문화/예술/체육/언론","체대 실기나 경찰공무원 체력측정 시험 등등에서 윗몸일으키기 종목을 빼주세요.","3"
"인권/성평등","명백하게 나쁜 의도의 가해를 했다는 뚜렷한 물증도 없이 단순 한쪽의 일방적인 진술만을 가지고 처벌시키는 애매모호 성범죄법 기준은 명백한 위헌이며, 악용소지 매우 크기에 법개정이 매우 시급합니다.","11"
"일자리","외국인   마구로   들이는   정부,   외국인   사라의   인권이   국정기조인    정부,   외국인에게   정당   가입권과   선거권까지    주려고하는   민주당!","14"
"육아/교육","여성가족부 페지 셧다운제 수정  및 학원 단속,처벌 강화","9"
"교통/건축/국토","이기주의 2기신도시 시위 갈수록 심하네요..무주택자들도 힘을합쳐 목소리를 높입시다! 힘없는 무주택자들의 성난 분노를 보여줍시다!!","13"
"외교/통일/국방","한반도 종전선언, 이렇게 합시다.","3"
"반려동물","동물원법을 강화시켜주세요.","27"
"일자리","불법체류자들의 일자리 도둑","27"
"경제민주화","존경하는 이명박 전대통령 전재산 기부","9"
"기타","영덕 태풍피해 복구 지원을 요청합니다","8"
"인권/성평등","반인권적 국가범죄 공소시효 패지를 촉구합니다.","5"
"안전/환경","모든 국가 안보및 치안과 관련된 임무에서 강한사람을 뽑아주시기바랍니다","1"
"육아/교육","학생의 복장,외모 규제를 없애주세요","9"
"인권/성평등","세월호 유가족 진상 재소사안","5"
"안전/환경","여자분들 외국인 조심하시기 바랍니다 불법체류자33만명","23"
"일자리","여경 비율확대 할꺼면 채력시험기준을 상향시켜주세요.","5"
"외교/통일/국방","보훈대상자 사망시에 배우자도 보훈연금 승계해주세요","4"
"외교/통일/국방","취업맟춤특기병제도를 전문대까지 확장시켜주세요!!!","0"
"안전/환경","종전선언이전에  나라경제부터 먼저  살려야하지않을까요ㅠㅠ문정권  제발  경제가 기울고  있어요","8"
"외교/통일/국방","평화의 촛불","1"
"교통/건축/국토","청약제도 개선해주세요","6"
"교통/건축/국토","청약제도 개선해주세요","2"
"미래","국민이 뽑은 대통령님 국민이 원하는 나라를 만들어 주십시요.","5"
"안전/환경","최저임금으로인해 외국근로자들만 좋은일 다 시키네요 이렇게 외화낭비 경제까지 안좋으니ㅠ 걱정입니다","11"
"미래","국민이 뽑은 대통령님 국민이 원하는 나라를 만들어 주십시요.","3"
"행정","불법체류","21"
"일자리","불체자 외노자 숫자 줄여야 실업자 너무 많다","20"
"인권/성평등","인공호흡기 근육장애인의 생존과 활동지원사의 생계가 위협받고 있어요. 제발 살려주세요","647"
"미래","강남명문학교를 서울이나 수도권 또는 지방지역으로 이전해주세요.","4"
"문화/예술/체육/언론","예산문화원 추사추모전국휘호대회의 불투명성과 비리에 대해 밝혀주세요!","10"
"보건복지","힘든서민마음","6"
"행정","국민들의 눈과 귀를 가리려 하지 말라!","10"
"안전/환경","음주운전","13"
"인권/성평등","국가유공자를 도와줍시다","4"
"교통/건축/국토","부동산 불로소득은 막아주세요.","26"
"육아/교육","음악대학의 입시 비리를 고발합니다","23"
"기타","차용거래,계약에관한법을 보완할 수있는지 알고싶습니다.","1"
"일자리","트럼프가 졸렬한 가짜애국 한국정치인들을 읽었다!","6"
"일자리","일자리에관한 제안","2"
"미래","남북철도-비핵화후-미중러일 컨소시엄추진","2"
"안전/환경","비비탄총 판매를 금지해주세요","18"
"교통/건축/국토","이동식무인단속카메라는 몰래카메라","4"
"반려동물","동물권보장 확대및 동물학대 처벌강화","41"
"교통/건축/국토","관악구 지역주택 조합의 이상한  계산법을  고발합니다","4"
"인권/성평등","몰카 off 카메라 부착 스티커","1"
"기타","아직도 사라지지 않는공기업 비리","7"
"일자리","제발 편의점 악덕점주들의 횡포를 막아주세요","13"
"저출산/고령화대책","정년 퇴임 나이를 늘리자","6"
"안전/환경","중국발 발암물질인 미세먼지랑 대체 지금 몇년째 이러고 있습니까","14"
"성장동력","과거 청산도 중요하지만 미래로 나가는 정책을 펼쳐주세요","10"
"보건복지","신경안정제 복용과 보험의 관계","2"
"인권/성평등","경찰이 치안조무사 소리 안들을수 있게 해주세요","0"
"기타","스님, 절에 대해서도 감사가 필요합니다.","12"
"외교/통일/국방","여자분들 밤길 조심하시기 바랍니다 불법체류자가무려33만명입니다 그중11%가 범죄인 입니다","25"
"육아/교육","비리 유치원 적발된 곳에  안보내는  엄마입니다.","43"
"육아/교육","대학진학에 성별로 차별받지 않는 나라가 되게 해주십시오","5"
"경제민주화","★ 편파적이고 월권 하는 김 현 미 국토부장관 을 파면 시켜라 !!! ~ 정당한 건물주 ( 임대인 ) 보호하는 법안 만들어라 !!!","10"
"인권/성평등","지금 초중사이에서의 페미니즘 교육을 철회해 주십시오.","4"
"정치개혁","현직경찰의 문제제기 "" 김재원 의원 사건 처리 의혹 논란 "" 명명 백백히 밝혀야","1"
"행정","공공기관 사이트 이용시 매번 설치해야되는 보안프로그램 좀 없애주세요","7"
"안전/환경","소년법을 폐지해주십시오","47"
"안전/환경","구의역 사고를 추모하는 공간을 상설화시켜주셨으면 합니다","5"
"인권/성평등","동성애자도 사람입니다 상처가 심합니다","16"
"육아/교육","수학 시험시간에 전자계산기를 사용할 수 있게 해 주세요.","3"
"성장동력","상속세폐지","3"
"교통/건축/국토","LH 공기업이 이래도 되나요?  본문 기사 확인하세요!","6"
"행정","외노자 단체가 시위하며 주권위협, 불법행위 하는데 추방해주십시오","23"
"기타","인터넷개인방송 규제를강화해주세요.","10"
"보건복지","포털 사이트 검색시 별 내용없이 도배만 하고있는 병의원 광고 좀 안 뜨게 해주세요","5"
"교통/건축/국토","무주택자의 주택담보대출 규제를 풀어주세요","12"
"문화/예술/체육/언론","방탄소년단 군대면제","17"
"기타","도시가스 공급업체가 온압보정기를 당장 설치하라","1"
"교통/건축/국토","월판선 확정고시 조속히 발표하세요","1,267"
"안전/환경","소방관 처우에 대한 탁상행정을 그만둬주시기 바랍니다.","12"
"행정","충주경찰서 박경사 해고와 처벌 해주세요","8"
"교통/건축/국토","집없는 서민들을 위해 임대주택 실거주자 확인 좀 제대로 부탁드립니다","15"
"외교/통일/국방","20년넘은침낭을 보급하는 현재 우리나라 가난한현실","12"
"육아/교육","청소년 여러분들... 힘드시죠?(구지동의안눌러두되니 제글을 보시고 힘이되시길바랍니다.)","4"
"육아/교육","도가 지나친 외부인 및 외국인 관광객 때문에 대학이 피해가 커요!","9"
"일자리","국민이  죽어도   외국인   인권!   인권!   인권!,  불체자   단속에도   인권!   인권!   인권!,  난민   반대에도   인권!   인권!    인권!    매국단체에게    ""국민   세금""   지원이라니?","32"
"저출산/고령화대책","부모에게 보육수당을 지급하세요!!!!","45"
"안전/환경","청원을 장난으로 글을 올리는 사람 처벌해주세요","19"
"일자리","최저임금보다 시급한 중소기업 여건 개선","8"
"문화/예술/체육/언론","방탄소년단 강제해체글에 댓 쓰지마요","4"
"안전/환경","오산행정","1"
"교통/건축/국토","단타부동산26조에 대한 세금환수촉구","17"
"안전/환경","세월호 참사 국민모두가 납득할수있는 재조사 요구합니다.","11"
"육아/교육","유은혜 교육부장관님 몇주전 뉴스에 정규직전환에 대한 전문가들 인터뷰를 보았습니다","4"
"미래","문재인대통령님 제발 정신차리고 여기를 좀 보세요~!!!!!","10"
"문화/예술/체육/언론","심의를 요청하니 변호를 하고있는 정부기관","2"
"기타","무전유죄","1"
"안전/환경","서울시 동대문구 용두공원 환경자원센터로 인해 악취와 가스냄새에 시달리고 있습니다.","0"
"안전/환경","저녁 9시 통금제도 도입","4"
