"카테고리","제목","좋아요","훈훈해요","슬퍼요","화나요","후속기사_원해요"
"경제 ","코오롱인더, 3년 연속 영업익 '추락'…""지난해 신증설 완료, 반등할 것""",0,0,0,1,0
"경제 ","코오롱인더, 작년 흑자 1980억 달성",0,0,0,0,0
"경제 ","20일부터 카드 사용 금액 등 휴대전화로 간편 조회",0,0,0,0,0
"경제 ","내 모든 신용카드 사용내역을 휴대폰에서 한번에 확인",0,0,0,0,0
"경제 ","[단독] 공정위, 사건배당 개입 ‘前官’ 2명 1년간 접촉금지",0,0,0,0,0
"경제 ","[현장+]공정위, 외부인 접촉제한 논란 커지자 ""기자는 제외""",1,0,0,14,0
"경제 ","가계부채 1500조 돌파…KDI “부동산 규제 강화해야”(종합)",6,0,0,7,0
"경제 ","KDI ""단기 성장률 집착이 가계부채 위험 키워""",0,0,1,0,0
"경제 ","홍남기, 주한 EU대사 면담…""브렉시트 대응에 공조""",0,0,0,0,0
"경제 ","홍남기 부총리, 주한 EU대사 면담...""브렉시트 대응에 공조""",0,0,0,0,0
"경제 ","[금융, 신남방정책 든든한 파트너로]KB금융 맞춤서비스·저금리 '양날개'...캄보디아 기업대출 3년새 3배↑",0,1,0,0,0
"경제 "," KB국민은행, 인도 진출 1호점 구루그람지점 개설",0,0,0,0,0
"경제 ","실적 악화에 신용등급까지 떨어지는데…'3년 투쟁' 선언한 현대·기아차 노조",0,0,0,0,0
"경제 ","현대·기아차노조, '광주형 일자리 철회' 3년투쟁 돌입",0,0,0,8,0
"경제 ","MG손보 노조, 21일까지 1차 파업 돌입···보험사 파업 7년만",0,0,0,0,0
"경제 ","MG손보 노조, 임금 인상 요구하며 파업 돌입",0,0,0,0,0
"경제 ","예타 면제의 딜레마, ‘발전일까 혈세 낭비일까’",1,0,0,6,0
"경제 ","거래량 급감에도 집값 떨어지지 않는 이유",228,18,15,439,39
"경제 ","신도시 성공의 조건은 '일자리'와 '교통망'",9,0,0,11,3
"경제 ","외환위기의 교훈, '현상'보다 '원리'따져라",16,0,2,2,1
"사회 ","사회적대화로 갈등 풀었다…탄력근로제 6개월로 확대(종합)",326,3,2,427,4
"사회 ","탄력근로제 단위기간 3→6개월 확대…11시간 연속휴식 의무화(종합2보)",3,1,0,13,0
"사회 ","탄력근로제 '3개월→ 6개월로 확대' 합의…11시간 연속휴식 의무화",146,4,6,346,10
"사회 ","경사노위 첫 과제 '탄력근로제' 합의…노사 한발 양보(종합)",0,0,0,0,0
"사회 ","대구 도심 사우나서 불 2명 사망·70여명 부상",0,0,1,0,1
"사회 ","또… 대구 사우나서 불 2명 사망·76명 다쳐",0,0,0,0,0
"사회 ","대구 도심 사우나에서 불…2명 사망·70여 명 부상",0,0,0,0,0
"사회 ","대구 사우나 큰 불, 또 스프링클러 없었다",0,0,0,6,1
"사회 ","김장겸·안광한 MBC 前사장 집행유예…""노조탄압 처벌 마땅""(종합)",15,0,0,85,3
"사회 ","법원, MBC 전 사장단 ‘노조탄압’ 유죄 선고",0,0,0,0,0
"사회 ","'MBC 파업' 직원들 부당 인사...김장겸, 1심서 집행유예",2,1,1,44,0
"사회 ","전국언론노조 MBC본부 ""MBC 전 사장단 방송독립 침해 단죄""  ",0,0,0,0,0
"사회 ","천안 오피스텔 방화로 5명 중경상…1명은 의식불명(종합3보)",0,1,1,11,0
"사회 ","천안 오피스텔 방화로 5명 중경상···20대 여성 세입자 자수",0,0,0,0,0
"사회 ","'천안 오피스텔 방화' 20대 여성 자수…범행 동기 조사",0,0,0,0,0
"사회 ","천안 오피스텔서 불…20대 1명 의식불명·5명 부상(종합2보)",0,0,5,21,1
"사회 ","황토현전승일 ‘동학농민혁명 국가기념일’로 신규 지정",3,0,0,6,0
"사회 ","5월11일 ‘동학농민혁명 정부 기념일’ 지정",0,0,0,0,0
"사회 ","‘5월 11일’ 동학농민혁명 기념일 됐다",0,0,0,7,0
"사회 ","전북도·정읍시 ""동학혁명 기념일 지정 환영, 관련사업 강화""",3,1,0,2,0
"사회 ","'손혜원 의혹' 압수수색에 목포시청 하루종일 뒤숭숭",2,0,1,1,0
"사회 ","손혜원 ‘부동산 매입’ 논란 본격 수사…문화재청·목포시청 압수수색",0,0,0,0,0
"사회 ","교육당국, 고교 무상교육 실현 준비 박차",2,0,0,1,1
"사회 ","‘고교 무상교육’ 전면 시행에 연간 2조원 든다",6,0,0,9,0
"사회 "," [단독] MB 기무사, 노무현·문재인·이해찬·유시민 “좌파 체계도” 작성 ",72,4,2,398,18
"사회 ","‘기무사 댓글 공작’ 배득식 前사령관 징역 3년",0,0,0,0,0
"사회 ","수도권 고농도미세먼지 예비저감조치 첫 발령…""50㎍/㎥ 이상""(종합)",1,1,1,13,0
"사회 ","수도권 고농도 미세먼지 예비저감조치 내일 첫 발령",0,0,0,5,0
"사회 ","""500% 수익"" 코인사기 또 등장…""정부 가이드라인 시급""",1,0,0,0,0
"사회 ","경찰, '가상화폐 사기 혐의' 코인업 압수수색…투자자들 반발(종합)",24,0,1,1,6
"사회 ","‘아들 의사 시키려고’…의대 교수가 면접시험 유출",0,0,0,7,0
"사회 ","'아들 위해 면접문제 빼돌린 의대 교수' 약식기소 솜방망이 논란(종합)",1,1,0,159,9
"사회 ","""생명 뺏는 군사 훈련 못한다"" 예비군 훈련 거부 20대 무죄",6,1,1,124,1
"사회 ","[단독]‘비폭력·평화주의’ 양심적 병역거부 첫 인정",11,0,0,54,2
"사회 ","'사법농단 의혹' 양승태 법원에 보석 청구…""방어권 행사 지장""(종합)",85,2,3,335,6
"사회 ","'사법농단 의혹' 양승태 법원에 보석 청구…""방어권 행사 지장""",42,1,3,167,3
"사회 ","'정치자금법' 위반 이완영 항소 기각, 의원직 상실 위기",148,8,0,35,2
"사회 ","‘정치자금법 위반’ 이완영 한국당 의원 항소 기각…의원직 상실 위기",51,4,1,8,0
"사회 ","""카카오 아청법 위반"" 판단에도 '이석우 무죄' 왜?",1,0,0,0,0
"사회 ","'음란물 차단 미흡' 前 카카오 대표에 무죄 선고(종합)",1,0,0,0,0
"사회 ","""폭행으로 장 파열·췌장 절단…가해 학생은 해외여행""(종합)",2,1,4,269,8
"사회 ","""폭행으로 장 파열됐는데 수사 무성의""…국민청원 7만명 돌파",0,0,0,0,0
"사회 ","'정월대보름 달집태우기' 곳곳에서 열려",1,0,0,0,0
"사회 ","부산 송정해수욕장 달집태우기 행사 중 유증기 폭발···3명 부상",0,0,0,0,0
"사회 ","이낙연 총리·국악인 오정해, 광주수영대회 홍보대사 위촉",0,0,0,0,0
"사회 ","7월 광주세계수영대회 홍보대사에 이낙연·오정해",0,0,0,0,0
"사회 ","'낙태 폭로' 류지혜, 극단적 선택 암시글에 경찰 출동…""건강 이상 없어""",0,0,1,12,1
"사회 ","‘낙태 논란’에 극단적 선택 암시한 류지혜 자택서 발견",1,1,4,61,3
"사회 ","文대통령의 포용국가…핵심은 '촘촘한 사회안전망'",6,0,0,18,0
"사회 ","국가가 ‘온종일 돌봄’ 책임… 고교 무상교육으로 배움 문턱 낮춘다",0,0,0,0,0
"사회 ","9월부터 아동수당 만7세미만까지 지급…아동 국가책임 확대(종합)",7,0,0,41,3
"사회 ","2022년까지 남성 육아휴직자 40% 늘게 ‘포용사회’ 만든다",0,0,0,0,0
"사회 ","[단독]‘블랙리스트 의혹’ 김은경 前환경장관 출국금지",198,5,3,1404,22
"사회 ","'환경부 블랙리스트 의혹' 김은경 前장관 출국금지",0,0,0,0,0
"사회 ","'선거법 위반 혐의' 노옥희 울산교육감 1심 무죄... 직 유지",0,0,0,1,0
"사회 ","'허위사실 공표' 혐의 노옥희 울산교육감 1심 무죄…직위 유지(종합)",1,0,0,9,0
"사회 ","[서소문사진관]궁궐도 전용기도 싫다. 서민 행보 이어가는 멕시코 대통령",1,0,0,0,0
"사회 ","[서소문사진관]'수병과 간호사' 키스 사진속 남자 주인공 별세",10,1,3,5,0
"사회 ","[서소문사진관] 부처님 햇볕 목욕, 티베트 불교의 정월 보름 축제",5,1,0,0,0
"사회 ","[서소문사진관] 불꽃 튀는 충돌, 나스카 '데이토나 500'에서 사고 발생",1,0,0,0,0
"생활/문화 ","이탈리아 '산업디자인 거장' 멘디니, 87세로 별세",0,0,0,0,0
"생활/문화 ","'현대 건축·디자인의 다빈치' 멘디니 88세로 별세",0,0,0,0,0
"생활/문화 ","伊 '산업디자인 황제' 멘디니, 87세로 별세…LG전자 등 국내 기업과도 인연",0,0,0,0,0
"생활/문화 ","이탈리아 '산업디자인 황제' 멘디니, 87세로 별세",0,0,0,0,0
"생활/문화 ","눈 그치고 구름 사이로 '슈퍼문'…내일 미세먼지 공습",7,5,14,335,3
"생활/문화 ","[날씨] 눈 그치고 구름 사이로 '슈퍼문'…미세먼지 '나쁨'",12,6,6,219,7
"생활/문화 ","[내일날씨] 눈 그치고 초미세먼지 다시 온다 ""마스크 착용하세요""",0,0,0,3,0
"생활/문화 ","[날씨] 내일 오전까지 약한 눈…날 풀리고 '초미세먼지'",0,0,0,5,0
"생활/문화 ","전설의 밴드 '퀸(Queen)' 브라이언 메이… ""고맙습니다"" 한국 팬 향한 영상 편지",16,0,1,0,0
"생활/문화 ","퀸, 아카데미 시상식서 라이브공연...머큐리 대신 애덤 램버트 보컬",0,0,0,0,0
"생활/문화 ","눈·비 그치고 불청객 온다…내일 미세먼지 기승",0,0,0,5,0
"생활/문화 ","오전 곳곳 산발적 눈…수도권 등 미세먼지 ‘나쁨’",0,0,0,0,0
"생활/문화 ","베토벤 운명으로 시작해 윤이상으로…2019 통영국제음악제 ",1,0,0,3,0
"생활/문화 ","통영국제음악제, 올해는 '운명'···명실상부 글로벌 스탠더드",1,0,0,0,0
"생활/문화 ","안영배 사장 ""빅데이터 활용한 '관광예보제' 실시""",3,0,0,0,0
