"국가이름","국토면적","인구","국내총생산","일인당국내총생산","경제성장률","언론자유지수","행복지수","자살률","기대수명","부패인식지수","순소득지니계수","재산지니계수","합계출산율","범죄지수","민주주의지수"
"몬테네그로",1381000,629355,4774086094.2,NA,4.3,32.74,5.523,10.3,78.91,45,NA,NA,1.7,40.48,5.74
"몰도바",3385000,4029750,8128493432.1,2289.88,4.5,31.21,5.529,15.9,71.29,33,33.7,47.9,1.2,45.45,5.85
"몰디브",30000,451738,4597083303.5,10535.79,8.83,32.16,NA,2.3,76.02,31,NA,NA,2.1,53.29,NA
"몰타",32000,433245,12537750732.5,26945.98,6.42,29.74,6.726,7.5,80.6,54,NA,NA,1.4,33.53,8.21
"몽골",156412000,3166244,11488046881,3735.16,5.88,29.51,5.285,13,70.48,37,37.8,57,2.7,59.76,6.5
"미국",983151000,329093110,19390604000000,59531.66,2.27,25.69,6.892,15.3,79.25,71,37.8,85.9,1.8,47.13,NA
"미국령버진아일랜드",35000,104909,NA,NA,NA,NA,NA,NA,80.26,NA,NA,NA,2.1,NA,NA
"미국령사모아",20000,NA,NA,NA,NA,NA,NA,NA,75.79,NA,NA,NA,NA,NA,NA
"미얀마",67659000,54336138,NA,NA,6.37,44.92,4.36,7.8,67.31,29,NA,NA,2.2,NA,3.83
"미크로네시아",NA,NA,NA,NA,NA,NA,NA,NA,73.4,NA,NA,NA,NA,NA,NA
"미크로네시아Fed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA
"민주당의",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49
"바누아투",1219000,288017,862879789.4,NA,4.5,NA,NA,4.5,67.15,46,NA,NA,3.2,NA,NA
"바레인",77100,1637896,35307127659.6,23655.04,3.88,61.31,6.199,5.9,79.14,36,NA,NA,2,32.87,2.71
"바베이도스",43000,287010,4796845980.8,16788.68,1.67,NA,NA,0.8,75.66,68,NA,NA,1.8,NA,NA
"바하마",1388000,403095,12162100000,30762.01,1.44,NA,NA,1.7,72.86,65,NA,NA,1.8,NA,NA
"방글라데시",14763000,168065920,249723887765.4,1516.51,7.28,50.74,4.456,5.9,71.8,26,39.5,57.9,2.1,65.82,5.57
"버뮤다",5000,NA,NA,NA,NA,NA,NA,NA,81.45,NA,NA,NA,1.6,NA,NA
"베냉",11476000,11801595,9273558271.6,829.8,5.58,31.74,4.883,9.9,62.66,40,NA,NA,4.9,NA,5.74
"베네수엘라",91205000,32779868,NA,NA,NA,49.1,4.707,3.7,74.98,18,NA,NA,NA,83.23,3.16
"베네수엘라RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA
"베트남",33096700,97429061,223863996354.7,2343.12,6.81,74.93,5.175,7.3,73.92,33,42.2,74.5,1.9,48.78,3.08
"벨기에",3053000,11562784,492681283049.2,43323.81,1.73,12.07,6.923,20.7,80.42,75,25.9,63,1.7,42.46,7.78
"벨라루스",20760000,9433874,54442374372.5,5726.03,2.42,51.66,5.323,26.2,73.07,44,NA,NA,1.5,23.53,3.13
