"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"팔레스타인",NA,NA,NA,NA,5186790,120,602000,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"푸에르토리코",NA,NA,NA,NA,3654978,133,887000,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"카타르",NA,NA,NA,NA,2743901,141,1161000,162,167185714285.7,55,NA,NA,1.6,150,NA,NA,NA,NA,67376723000,40,29449083000,53
"레위니옹",NA,NA,NA,NA,889918,161,252000,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"서사하라",NA,NA,NA,NA,582478,169,26600000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"과들루프",NA,NA,NA,NA,448798,173,170000,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"마르티니크",NA,NA,NA,NA,385320,178,113000,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"프랑스령기아나",NA,NA,NA,NA,296847,180,8353000,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"프랑스령폴리네시아",NA,NA,NA,NA,288506,181,400000,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"뉴칼레도니아",NA,NA,NA,NA,283376,184,1858000,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"괌",NA,NA,NA,NA,167245,188,54000,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"샤넬군도",NA,NA,NA,NA,166828,189,19000,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"미국령버진아일랜드",NA,NA,NA,NA,104909,193,35000,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"그린란드",NA,NA,NA,NA,NA,NA,41045000,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"포클랜드",NA,NA,NA,NA,NA,NA,1217000,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"페로제도",NA,NA,NA,NA,NA,NA,139600,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"터크스케이커스제도",NA,NA,NA,NA,NA,NA,95000,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"앤틸리스",NA,NA,NA,NA,NA,NA,80000,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"맨섬",NA,NA,NA,NA,NA,NA,57000,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"북마리아나제도",NA,NA,NA,NA,NA,NA,46000,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"세인트헬레나",NA,NA,NA,NA,NA,NA,39000,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"케이맨제도",NA,NA,NA,NA,NA,NA,26400,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"니우에",NA,NA,NA,NA,NA,NA,26000,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"생피에르미클롱",NA,NA,NA,NA,NA,NA,24000,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"쿡아일랜드",NA,NA,NA,NA,NA,NA,24000,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"미국령사모아",NA,NA,NA,NA,NA,NA,20000,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"아루바",NA,NA,NA,NA,NA,NA,18000,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"리히텐슈타인",NA,NA,NA,NA,NA,NA,16000,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"영국령버진아일랜드",NA,NA,NA,NA,NA,NA,15000,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"윌리스퍼투나",NA,NA,NA,NA,NA,NA,14000,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"몬서랫",NA,NA,NA,NA,NA,NA,10000,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6121000,111,30757000,109
"안길라",NA,NA,NA,NA,NA,NA,9000,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3100000,112,182631000,108
"버뮤다",NA,NA,NA,NA,NA,NA,5000,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"핏케언제도",NA,NA,NA,NA,NA,NA,4700,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"지브롤터",NA,NA,NA,NA,NA,NA,1000,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"토켈라우제도",NA,NA,NA,NA,NA,NA,1000,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"유로지역",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2480622903000,1,2214861037000,2
